"My Reward Points",我的奖励点
"Checkout now and earn <b>%1</b> for this order.","现在结账并为此订单赚取<b>%1</b> 。"
"Applies only to registered customers, may vary when logged in.",仅适用于注册用户，登录后可能会有所不同。
"Possible discount %1 %2","可能的折扣%1 %2"
"Earn %1 %2","赚取%1 %2"
Grid,格
List,名单
All,所有
"Referral %1",推荐%1
"Something went wrong while saving your subscription.",保存订阅时出现问题。
"We removed your subscription on expiring points notification.",我们在到期点通知中删除了您的订阅。
"Cannot apply points.",不能申请积分。
"You've earned %1 for Facebook Like!",你已经为Facebook赞赚了%1！
"You've earned %1 for Facebook Share!",你已经为Facebook分享赚了%1！
"Facebook Like Points has been canceled","Facebook Like Points已被取消"
"You've earned %1 for Google+!",您已获得Google+的%1使用权！
"G+1 Points has been canceled","G + 1点已被取消"
"You've earned %1 for Pin!",Pin已获得%1！
"Invalid form key. Try again",无效的表单密钥。再试一次
"Customer with email %1 has been already invited to our store",带有电子邮件%1的客户已被邀请加入我们的商店
"Your invitations were sent. Thanks!",您的邀请已发送。谢谢！
"You've earned %1 for Tweet!",你已经获得了%1的推文！
"You received %1 for signing up",您收到%1注册
"You received %1 for sending this product",您收到%1发送此产品
"You received %1 for sign up for newsletter",您收到%1注册简报
"You received %1 for sign up for push notifications",您收到%1注册推送通知
"You will receive %1 after approving of this tag",您将在批准此标签后收到%1
"You will receive %1 after approving of this review",您将在批准此评论后收到%1
"You received %1 for sign up of referral customer.",您收到%1的推荐客户注册。
"You received %1 for order of referral customer.",您收到推荐客户的订单%1。
"Happy birthday! You received %1.",生日快乐！您收到%1。
"You received %1 for joining the affiliate program.",您收到%1加入联盟计划。
"%1 were applied.",%1被应用。
"Minimum number is %1.",最小数量是%1。
"Maximum number is %1.",最大数量是%1。
"%1 was canceled.",%1被取消。
"Cannot apply %1.",无法应用%1。
"You can use the following variables:",您可以使用以下变量：
Pattern,模式
"Attribute Value",属性值
Default,默认
Integer,整数
Price,价钱
"Strip Tags",带标签
"Primary Attributes",主要属性
"Stock Attributes",股票属性
"Prices & Taxes",价格和税收
Images,图片
"Custom Attributes",自定义属性
Mapping,制图
Category,类别
"Amasty Meta Tags","Amasty Meta标签"
"Others Attributes",其他属性
Flexible,灵活
Fixed,固定
"Customer signs up in store",客户在商店注册
"Customer places order",客户下订单
"Customer refer a friend",客户推荐一位朋友
"Customer adds tag to a product",客户为产品添加标签
"Customer writes a product review",客户撰写产品评论
"Customer has a birthday",客户有一个生日
"Customer is inactive for long time",客户长时间处于非活动状态
"Newsletter sign up",通讯注册
"Facebook Share",脸书分享
"Facebook Like",Facebook喜欢
"Twitter Tweet","Twitter Tweet"
"Google+ Like",Google+赞
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program",客户加入联盟计划
"Push Notifications sign up",推送通知注册
"Referred customer signs up in store",推荐的顾客在店内注册
"Order from referred customer",来自推荐客户的订单
"Points to Currency",指向货币
"Currency to Points",货币对点
"Customer Account > My Reward Points",客户账户&gt;我的奖励积分
"Customer Account > My Referrals",客户帐户&gt;我的推荐
"Cart Page",购物车页面
"Message Sent",消息已发送
"Signed Up",注册
"Made Order",订单
"Visited by Referral Link",由推荐链接访问
"Subtotal + Tax",小计+税
"Subtotal + Tax + Shipping",小计+税金+运费
"Product Rule",产品规则
"Cart Rule",购物车规则
"Behavior Rule",行为规则
"Transaction #%1 is expired",交易#%1已过期
"Update the Product",更新产品
"Is Rewards Points used",是否使用奖励积分？
"Coupon Used",使用优惠券
"Coupon Code",优惠券代码
No,没有
Yes,是
"Conditions Combination",条件组合
"Product attribute combination",产品属性组合
"Products subselection",产品选择
"Conditions combination",条件组合
"Cart Attribute",购物车属性
Customer,顾客
"Last 7-days Clicks",最近7天的点击次数
"Last 7-days Orders",最近7天的订单
