"Possible discount %1 %2","Possible discount %1 %2"
"Earn %1 %2","Earn %1 %2"
"Referral %1","Referral %1"
"Page not found.","Page not found."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We removed your subscription on expiring points notification.","We removed your subscription on expiring points notification."
"Cannot apply points.","Cannot apply points."
"You've earned %1 for Facebook Like!","You've earned %1 for Facebook Like!"
"You've earned %1 for Facebook Share!","You've earned %1 for Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points has been canceled"
"You've earned %1 for Google+!","You've earned %1 for Google+!"
"G+1 Points has been canceled","G+1 Points has been canceled"
"You've earned %1 for Pin!","You've earned %1 for Pin!"
"Invalid form key. Try again","Invalid form key. Try again"
"Customer with email %1 has been already invited to our store","Customer with email %1 has been already invited to our store"
"Your invitations were sent. Thanks!","Your invitations were sent. Thanks!"
"You've earned %1 for Tweet!","You've earned %1 for Tweet!"
"You received %1 for signing up","You received %1 for signing up"
"You received %1 for sending this product","You received %1 for sending this product"
"You received %1 for sign up for newsletter","You received %1 for sign up for newsletter"
"You received %1 for sign up for push notifications","You received %1 for sign up for push notifications"
"You will receive %1 after approving of this tag","You will receive %1 after approving of this tag"
"You will receive %1 after approving of this review","You will receive %1 after approving of this review"
"You received %1 for sign up of referral customer.","You received %1 for sign up of referral customer."
"You received %1 for order of referral customer.","You received %1 for order of referral customer."
"Happy birthday! You received %1.","Happy birthday! You received %1."
"You received %1 for joining the affiliate program.","You received %1 for joining the affiliate program."
"%1 were applied.","%1 were applied."
"Minimum number is %1.","Minimum number is %1."
"Maximum number is %1.","Maximum number is %1."
"%1 was canceled.","%1 was canceled."
"Cannot apply %1.","Cannot apply %1."
"You can use the following variables:","You can use the following variables:"
Pattern,Pattern
"Attribute Value","Attribute Value"
Default,Default
Integer,Integer
Price,Price
"Strip Tags","Strip Tags"
"Primary Attributes","Primary Attributes"
"Stock Attributes","Stock Attributes"
"Prices & Taxes","Prices & Taxes"
Images,Images
"Custom Attributes","Custom Attributes"
Mapping,Mapping
Category,Category
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Others Attributes"
Flexible,Flexible
Fixed,Fixed
"Customer signs up in store","Customer signs up in store"
"Customer places order","Customer places order"
"Customer refer a friend","Customer refer a friend"
"Customer adds tag to a product","Customer adds tag to a product"
"Customer writes a product review","Customer writes a product review"
"Customer has a birthday","Customer has a birthday"
"Customer is inactive for long time","Customer is inactive for long time"
"Newsletter sign up","Newsletter sign up"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook Like"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Like"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Customer joins the affiliate program"
"Customer tier up","Customer tier up"
"Customer tier down","Customer tier down"
"Push Notifications sign up","Push Notifications sign up"
"Referred customer signs up in store","Referred customer signs up in store"
"Order from referred customer","Order from referred customer"
"Points to Currency","Points to Currency"
"Currency to Points","Currency to Points"
"Customer Account > My Reward Points","Customer Account > My Reward Points"
"Customer Account > My Referrals","Customer Account > My Referrals"
"Cart Page","Cart Page"
"Message Sent","Message Sent"
